epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7439.87,0.982,0.98315,1.23421,1.19885,0.85265,0.77379,0.8475,0.65925,0.71437,0.64773,0.59996,0.17701,0.8173,1.04089,0.84159,1.04783,0.001043,0.001043,0.001043
31,7686.62,0.96831,0.96173,1.22306,1.19345,0.85031,0.77142,0.84875,0.66192,0.71862,0.6518,0.61074,0.18352,0.82437,1.02876,0.81721,1.04224,0.00101,0.00101,0.00101
32,7933.09,0.96693,0.95298,1.21835,1.19418,0.85999,0.7784,0.85486,0.66876,0.74448,0.64864,0.62218,0.18869,0.82569,1.02106,0.80367,1.04466,0.000977,0.000977,0.000977
33,8184.86,0.9608,0.96478,1.2037,1.18547,0.85443,0.77221,0.85192,0.66805,0.72036,0.64903,0.61714,0.19082,0.80924,1.02134,0.80904,1.03981,0.000944,0.000944,0.000944
34,8430.05,0.956,0.95698,1.20543,1.18562,0.85949,0.76826,0.85394,0.67198,0.71978,0.65509,0.62697,0.19226,0.80805,1.02154,0.80721,1.03944,0.000911,0.000911,0.000911
35,8679.54,0.94962,0.96154,1.19663,1.18211,0.87444,0.77458,0.86413,0.68181,0.74665,0.66246,0.64367,0.19833,0.80013,1.00831,0.78336,1.02598,0.000878,0.000878,0.000878
36,8930.43,0.95085,0.96246,1.18472,1.17944,0.8721,0.76991,0.86158,0.68449,0.74399,0.65855,0.62987,0.19017,0.78892,1.01877,0.76472,1.02331,0.000845,0.000845,0.000845
37,9184.15,0.94101,0.94993,1.18963,1.174,0.87374,0.76747,0.8625,0.68813,0.70557,0.66443,0.61411,0.18311,0.78211,1.0212,0.76001,1.01684,0.000812,0.000812,0.000812
38,9431.37,0.93296,0.94598,1.16338,1.1718,0.87002,0.77954,0.86219,0.68794,0.73107,0.67828,0.63624,0.19371,0.76592,1.00944,0.75458,1.00944,0.000779,0.000779,0.000779
39,9679.58,0.92796,0.94174,1.17349,1.166,0.86514,0.78513,0.86345,0.68854,0.71831,0.66127,0.6233,0.18768,0.77706,1.00933,0.76715,1.01612,0.000746,0.000746,0.000746
40,9928.33,0.93608,0.95711,1.16373,1.17012,0.87008,0.80261,0.87264,0.69249,0.74322,0.68772,0.64834,0.20031,0.76871,1.00158,0.74562,1.00826,0.000713,0.000713,0.000713
41,10169.8,0.91936,0.94086,1.15853,1.16396,0.8655,0.80418,0.87212,0.69902,0.74031,0.69206,0.64338,0.19543,0.75916,1.00413,0.74057,1.00087,0.00068,0.00068,0.00068
42,10413.8,0.91249,0.93648,1.1562,1.16207,0.8869,0.7956,0.877,0.70322,0.75032,0.69009,0.64976,0.19858,0.75358,1.00043,0.73165,0.9937,0.000647,0.000647,0.000647
